EventId,Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,AirportCode,City,County,State,ZipCode
W-30920,Fog,Severe,2017-01-21 07:01:00,2017-01-21 07:06:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30921,Fog,Severe,2017-01-21 07:23:00,2017-01-21 07:57:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30922,Fog,Severe,2017-01-21 12:05:00,2017-01-21 12:32:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30923,Rain,Light,2017-01-22 00:54:00,2017-01-22 01:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30924,Rain,Light,2017-01-22 05:54:00,2017-01-22 08:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30925,Rain,Light,2017-01-22 09:16:00,2017-01-22 09:29:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30926,Rain,Light,2017-01-25 02:54:00,2017-01-25 03:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30927,Cold,Severe,2017-01-26 12:54:00,2017-01-26 13:47:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30928,Snow,Light,2017-02-03 07:54:00,2017-02-03 08:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30929,Fog,Moderate,2017-02-06 18:54:00,2017-02-06 19:18:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30930,Fog,Severe,2017-02-07 03:54:00,2017-02-07 04:11:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30931,Fog,Severe,2017-02-07 04:49:00,2017-02-07 05:25:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30932,Cold,Severe,2017-02-09 18:54:00,2017-02-09 19:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30933,Cold,Severe,2017-02-15 15:54:00,2017-02-15 16:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30934,Rain,Light,2017-02-20 13:54:00,2017-02-20 16:15:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30935,Snow,Light,2017-02-24 23:26:00,2017-02-24 23:51:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30936,Snow,Light,2017-02-26 13:54:00,2017-02-26 14:32:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30937,Snow,Light,2017-02-26 14:41:00,2017-02-26 15:10:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30938,Rain,Light,2017-02-26 15:10:00,2017-02-26 15:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30939,Fog,Severe,2017-02-27 10:01:00,2017-02-27 13:42:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30940,Fog,Severe,2017-02-27 14:23:00,2017-02-27 14:30:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30941,Rain,Light,2017-02-28 23:49:00,2017-03-01 00:10:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30942,Rain,Light,2017-03-01 06:54:00,2017-03-01 07:19:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30943,Rain,Light,2017-03-07 01:22:00,2017-03-07 01:47:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30944,Rain,Moderate,2017-03-07 01:47:00,2017-03-07 01:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30945,Rain,Heavy,2017-03-07 01:54:00,2017-03-07 02:01:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30946,Rain,Moderate,2017-03-07 02:01:00,2017-03-07 02:21:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30947,Rain,Heavy,2017-03-07 02:21:00,2017-03-07 02:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30948,Cold,Severe,2017-03-07 02:54:00,2017-03-07 13:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30949,Snow,Light,2017-03-11 10:54:00,2017-03-11 14:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30950,Snow,Light,2017-03-11 15:54:00,2017-03-11 18:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30951,Fog,Severe,2017-03-11 18:54:00,2017-03-11 18:57:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30952,Snow,Light,2017-03-11 18:57:00,2017-03-11 20:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30953,Snow,Light,2017-03-14 15:36:00,2017-03-14 20:07:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30954,Rain,Light,2017-03-24 16:54:00,2017-03-24 18:33:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30955,Rain,Light,2017-03-24 20:54:00,2017-03-24 22:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30956,Rain,Light,2017-03-25 03:54:00,2017-03-25 04:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30957,Rain,Light,2017-03-25 06:54:00,2017-03-25 07:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30958,Rain,Light,2017-03-25 16:30:00,2017-03-25 19:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30959,Rain,Light,2017-03-27 03:54:00,2017-03-27 05:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30960,Rain,Light,2017-03-27 06:54:00,2017-03-27 08:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30961,Rain,Moderate,2017-03-27 08:54:00,2017-03-27 09:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30962,Rain,Light,2017-03-27 11:54:00,2017-03-27 16:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30963,Rain,Light,2017-03-27 17:54:00,2017-03-27 18:20:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30964,Rain,Light,2017-03-27 19:43:00,2017-03-27 19:52:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30965,Rain,Light,2017-03-29 08:31:00,2017-03-29 10:14:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30966,Rain,Moderate,2017-03-29 10:14:00,2017-03-29 10:27:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
